r0,r1,target,pred,success
-18.700272000000002,53.130936,디자인,가격,실패
22.853863,45.23757,감촉,색상,실패
28.680008,-1.3416086,색상,감촉,실패
-34.877583,9.577096000000001,감촉,용량,실패
-10.206436,3.8956459000000003,용량,용량,성공
54.745909999999995,18.377360999999997,디자인,향기,실패
21.759663,-62.630295,색상,향기,실패
-34.051014,0.6303308000000001,향기,향기,성공
-4.825999299999999,2.6233258,가격,가격,성공
-33.422962,8.615575,가격,감촉,실패
24.342579,-8.010415,디자인,향기,실패
-12.035848,0.9462313,용량,용량,성공
16.242142,47.100636,색상,색상,성공
10.342085,38.211765,색상,색상,성공
3.660627,-57.139523,가격,향기,실패
-2.464043,-5.5715737,용량,용량,성공
18.087309,10.512522,향기,향기,성공
16.873362,-54.59845,감촉,향기,실패
-8.351486999999999,-20.78914,감촉,향기,실패
-32.739647,19.783768,향기,용량,실패
-29.356704999999998,23.165627999999998,감촉,용량,실패
33.95315,-35.977303000000006,가격,가격,성공
-31.943752000000003,25.409163,향기,향기,성공
-25.892317000000002,-4.839219,용량,용량,성공
7.5565076,34.430603000000005,색상,색상,성공
10.000342999999999,13.681725,디자인,용량,실패
11.487624,-5.114916,가격,가격,성공
3.8074237999999996,-57.842484,향기,향기,성공
-23.916826,46.329193,가격,가격,성공
-6.120132,-1.0770315000000001,용량,용량,성공
-19.418282,23.062422,색상,감촉,실패
-20.887688,-45.00665,색상,향기,실패
14.066648,-41.936428,용량,용량,성공
5.5055466,28.73299,감촉,용량,실패
40.381622,6.895377000000001,디자인,가격,실패
-46.920933000000005,11.417848,감촉,감촉,성공
4.2808456,31.889812,색상,향기,실패
15.368745,-2.645236,가격,가격,성공
40.364005999999996,-3.2188717999999996,색상,감촉,실패
-26.192427,45.119053,향기,용량,실패
25.246666,-45.118590000000005,향기,가격,실패
-32.46184,44.113724,가격,가격,성공
28.860876,11.053148,디자인,향기,실패
-9.150043,28.009365000000003,용량,용량,성공
-35.035233000000005,-0.5426858,향기,향기,성공
19.748766,43.626186,디자인,색상,실패
20.608304999999998,19.895353,향기,가격,실패
-3.1881892999999994,35.566307,디자인,가격,실패
-33.191829999999996,37.610233,가격,가격,성공
-5.282857,-12.633704,감촉,감촉,성공
-33.640229999999995,10.589656,향기,용량,실패
-6.331335500000001,12.018075999999999,향기,용량,실패
-38.811752,39.05738,향기,향기,성공
-30.194155,45.303253000000005,향기,용량,실패
17.685482,-3.1988082,가격,가격,성공
21.907076,47.065636,색상,색상,성공
39.044290000000004,-21.470064,색상,감촉,실패
27.764516999999998,-9.330928,색상,가격,실패
-22.070598999999998,6.3030976999999995,용량,감촉,실패
42.993854999999996,-50.546978,감촉,감촉,성공
-2.799089,-22.100435,용량,용량,성공
7.017676,-21.362133,용량,용량,성공
-60.16072,-10.924634,가격,향기,실패
-45.961308,13.06551,감촉,향기,실패
10.127727499999999,25.051479999999998,색상,감촉,실패
33.010445000000004,3.8848260000000003,디자인,디자인,성공
-28.156439000000002,0.4177853,감촉,용량,실패
38.73881,-63.33485400000001,색상,향기,실패
-38.68346,31.805807,가격,용량,실패
-10.529262,46.9722,색상,색상,성공
-27.476128000000003,-5.505821,향기,용량,실패
-5.419064499999999,-58.96748,감촉,향기,실패
-27.629209999999997,11.976128,용량,용량,성공
19.774332,-45.990402,감촉,향기,실패
7.873717999999999,31.623299,색상,가격,실패
1.2443053999999998,-16.331757999999997,용량,용량,성공
-43.01028,-8.069131,향기,향기,성공
31.880634000000004,-27.941435,가격,향기,실패
53.675514,-32.264526000000004,향기,향기,성공
-13.283219,54.42735,색상,색상,성공
38.492687,-13.555995000000001,향기,향기,성공
-49.920596999999994,12.873197,감촉,감촉,성공
-4.1901665,21.710739999999998,가격,가격,성공
-15.570205,-5.1088877,감촉,감촉,성공
-22.958647,-12.757848,향기,향기,성공
-32.804996,1.7388283,향기,향기,성공
8.093749,24.996166,색상,가격,실패
10.162997,29.700317,감촉,감촉,성공
-20.79012,25.65936,용량,용량,성공
18.75441,-18.908281,가격,향기,실패
-3.7799419999999997,-13.249351500000001,가격,감촉,실패
11.048494999999999,6.8913145,색상,가격,실패
-39.236523,-4.753954,향기,향기,성공
-5.7122207000000005,-4.9526443,용량,용량,성공
13.330135,-55.882996,향기,향기,성공
37.40305,-9.198309,디자인,색상,실패
-40.153071999999995,23.495473999999998,감촉,용량,실패
26.55675,-7.8865929999999995,디자인,향기,실패
18.411304,-10.042169,감촉,가격,실패
-27.25726,6.030098000000001,디자인,감촉,실패
-17.933079,29.439021999999998,가격,가격,성공
-8.135023,-5.706710299999999,디자인,용량,실패
-29.418425,42.641785,가격,가격,성공
-20.217136,-49.78085,디자인,향기,실패
26.65865,5.9691315000000005,색상,감촉,실패
-16.774557,-17.923073000000002,향기,향기,성공
-37.89421,2.8634484000000002,용량,용량,성공
34.63162,-35.251408000000005,가격,가격,성공
25.14578,-28.166159000000004,디자인,감촉,실패
3.7430222,-0.8251601000000001,가격,감촉,실패
53.67266,-31.910381,향기,향기,성공
-31.997578000000004,10.68017,용량,향기,실패
4.1436777000000005,11.275997,디자인,용량,실패
27.01592,41.57154,색상,색상,성공
2.7553928,-57.27731,용량,향기,실패
10.195557,-33.788982,용량,용량,성공
27.548674,-18.757011,가격,향기,실패
-6.1955075,-14.909429000000001,감촉,감촉,성공
-2.441518,24.537315,디자인,감촉,실패
37.508774,-50.309288,감촉,감촉,성공
19.49322,35.92373,색상,색상,성공
-16.133627,49.028209999999994,감촉,감촉,성공
15.306744,-27.091688,감촉,감촉,성공
28.226063,-3.6850502,색상,용량,실패
-9.719851,11.010425,가격,용량,실패
-37.165096000000005,15.416670000000002,색상,용량,실패
21.470867000000002,-23.473034,감촉,감촉,성공
34.216390000000004,-35.463609999999996,용량,향기,실패
1.7046646,-14.868967000000001,용량,용량,성공
5.6681266,-11.070638,가격,향기,실패
27.756725,12.504672,디자인,색상,실패
18.77285,22.41406,디자인,향기,실패
15.466724,27.650465000000004,용량,향기,실패
14.614118,14.481409,디자인,가격,실패
55.05376999999999,19.78575,감촉,향기,실패
-13.348276,22.717292999999998,용량,용량,성공
-22.733267,-11.095906,향기,용량,실패
1.3856897,-17.075454999999998,용량,용량,성공
-17.818558,30.619740000000004,디자인,가격,실패
-8.835653,-11.137549,감촉,감촉,성공
9.740044000000001,3.4172835,향기,감촉,실패
2.5669720000000003,-56.27851,가격,가격,성공
13.674684,0.27395242,가격,가격,성공
29.417790999999998,-0.8777908999999999,감촉,감촉,성공
-30.676537,37.210464,가격,가격,성공
18.540436,19.994379000000002,디자인,디자인,성공
-5.4954877,39.63347,디자인,디자인,성공
-37.892544,0.5545876000000001,감촉,향기,실패
-34.095974,11.948278,용량,용량,성공
-2.3552560000000002,-8.203279,향기,향기,성공
-11.465394,-6.5259295,용량,용량,성공
-34.065365,27.45433,향기,감촉,실패
-27.605558000000002,-1.2149155,감촉,감촉,성공
-2.1136790000000003,8.805715,향기,용량,실패
-22.843378,-12.468595,향기,향기,성공
-25.776415,45.99738,용량,용량,성공
-3.8498747000000004,-29.5652,향기,용량,실패
13.635889,29.197540000000004,색상,색상,성공
14.363814000000001,29.850145,디자인,향기,실패
18.644917,34.721382,색상,색상,성공
36.055126,-2.5113272999999996,용량,용량,성공
32.099453000000004,-45.058323,감촉,감촉,성공
7.195303,10.248977,디자인,가격,실패
-4.1735253,-61.0757,가격,향기,실패
-16.384672,31.718854999999998,디자인,가격,실패
30.729366,11.175813,디자인,색상,실패
4.9833574,-42.728943,용량,용량,성공
24.191008,-18.48118,용량,향기,실패
8.501405,-2.4604156,가격,가격,성공
26.285792999999998,-28.871582,디자인,향기,실패
-7.4616303,-4.0810843,용량,용량,성공
5.2520356,-0.44472376,용량,가격,실패
-5.9498370000000005,25.73014,디자인,향기,실패
27.863598,-23.798851000000003,가격,가격,성공
5.8690809999999995,30.772585,용량,용량,성공
2.0649288,22.113947,디자인,가격,실패
7.2275979999999995,13.308928,향기,감촉,실패
-28.309692,-6.557117,용량,용량,성공
-12.337082,-14.260506,감촉,향기,실패
-6.1502576,22.502645,용량,가격,실패
-6.6367693,46.506091999999995,감촉,감촉,성공
-16.814532999999997,-23.461475,향기,향기,성공
15.9903345,-13.437944,디자인,용량,실패
-33.769490000000005,-45.625298,향기,향기,성공
-21.629713,17.895912,용량,용량,성공
-17.572025,1.3293542999999999,색상,용량,실패
-17.963224,30.457006,용량,용량,성공
47.408356,-1.2705386,디자인,감촉,실패
2.7347262000000003,11.2068,디자인,가격,실패
13.359128,-8.739635,향기,향기,성공
42.906009999999995,-26.381525,디자인,향기,실패
-15.853419,16.564047,용량,용량,성공
6.1081405,-60.502559999999995,색상,향기,실패
15.351897,21.454905,디자인,디자인,성공
2.053328,-6.65441,가격,감촉,실패
32.672646,-64.12694,색상,향기,실패
-5.547932599999999,18.684744,가격,가격,성공
-7.82905,1.77988,용량,용량,성공
24.664998999999998,-13.295738,가격,가격,성공
-5.7255720000000005,-12.253998,용량,용량,성공
40.449013,-22.989411999999998,색상,감촉,실패
7.654739999999999,-29.141059999999996,용량,용량,성공
18.112728,13.919034,용량,용량,성공
-7.9676027000000005,43.911697,색상,색상,성공
8.162084,35.35235,색상,색상,성공
25.448622,-48.53665,가격,가격,성공
5.917435,30.650927000000003,용량,용량,성공
-20.608223000000002,-8.587324,향기,감촉,실패
34.3609,-55.12401,감촉,감촉,성공
28.476164,32.515778000000005,색상,색상,성공
-7.036919999999999,24.822689999999998,감촉,감촉,성공
19.95542,0.31386462,가격,가격,성공
-48.340458,27.475573999999998,향기,감촉,실패
-2.1466947,-48.974396,용량,향기,실패
-46.40723,12.656578,감촉,감촉,성공
30.78087,-25.779573000000003,가격,가격,성공
-27.164210999999998,14.846198999999999,향기,용량,실패
-46.6583,4.4410934,향기,향기,성공
8.47525,18.886129999999998,감촉,용량,실패
52.262157,18.738443,향기,향기,성공
