r0,r1,target
-18.700272,53.130936,디자인
22.853863,45.23757,감촉
28.680008,-1.3416086,색상
-34.877583,9.577096,감촉
-10.206436,3.8956459,용량
54.74591,18.377361,디자인
21.759663,-62.630295,색상
-34.051014,0.6303308,향기
-4.8259993,2.6233258,가격
-33.422962,8.615575,가격
24.342579,-8.010415,디자인
-12.035848,0.9462313,용량
16.242142,47.100636,색상
10.342085,38.211765,색상
3.660627,-57.139523,가격
-2.464043,-5.5715737,용량
18.087309,10.512522,향기
16.873362,-54.59845,감촉
-8.351487,-20.78914,감촉
-32.739647,19.783768,향기
-29.356705,23.165628,감촉
33.95315,-35.977303,가격
-31.943752,25.409163,향기
-25.892317,-4.839219,용량
7.5565076,34.430603,색상
10.000343,13.681725,디자인
11.487624,-5.114916,가격
3.8074238,-57.842484,향기
-23.916826,46.329193,가격
-6.120132,-1.0770315,용량
-19.418282,23.062422,색상
-20.887688,-45.00665,색상
14.066648,-41.936428,용량
5.5055466,28.73299,감촉
40.381622,6.895377,디자인
-46.920933,11.417848,감촉
4.2808456,31.889812,색상
15.368745,-2.645236,가격
40.364006,-3.2188718,색상
-26.192427,45.119053,향기
25.246666,-45.11859,향기
-32.46184,44.113724,가격
28.860876,11.053148,디자인
-9.150043,28.009365,용량
-35.035233,-0.5426858,향기
19.748766,43.626186,디자인
20.608305,19.895353,향기
-3.1881893,35.566307,디자인
-33.19183,37.610233,가격
-5.282857,-12.633704,감촉
-33.64023,10.589656,향기
-6.3313355,12.018076,향기
-38.811752,39.05738,향기
-30.194155,45.303253,향기
17.685482,-3.1988082,가격
21.907076,47.065636,색상
39.04429,-21.470064,색상
27.764517,-9.330928,색상
-22.070599,6.3030977,용량
42.993855,-50.546978,감촉
-2.799089,-22.100435,용량
7.017676,-21.362133,용량
-60.16072,-10.924634,가격
-45.961308,13.06551,감촉
10.1277275,25.05148,색상
33.010445,3.884826,디자인
-28.156439,0.4177853,감촉
38.73881,-63.334854,색상
-38.68346,31.805807,가격
-10.529262,46.9722,색상
-27.476128,-5.505821,향기
-5.4190645,-58.96748,감촉
-27.62921,11.976128,용량
19.774332,-45.990402,감촉
7.873718,31.623299,색상
1.2443054,-16.331758,용량
-43.01028,-8.069131,향기
31.880634,-27.941435,가격
53.675514,-32.264526,향기
-13.283219,54.42735,색상
38.492687,-13.555995,향기
-49.920597,12.873197,감촉
-4.1901665,21.71074,가격
-15.570205,-5.1088877,감촉
-22.958647,-12.757848,향기
-32.804996,1.7388283,향기
8.093749,24.996166,색상
10.162997,29.700317,감촉
-20.79012,25.65936,용량
18.75441,-18.908281,가격
-3.779942,-13.2493515,가격
11.048495,6.8913145,색상
-39.236523,-4.753954,향기
-5.7122207,-4.9526443,용량
13.330135,-55.882996,향기
37.40305,-9.198309,디자인
-40.153072,23.495474,감촉
26.55675,-7.886593,디자인
18.411304,-10.042169,감촉
-27.25726,6.030098,디자인
-17.933079,29.439022,가격
-8.135023,-5.7067103,디자인
-29.418425,42.641785,가격
-20.217136,-49.78085,디자인
26.65865,5.9691315,색상
-16.774557,-17.923073,향기
-37.89421,2.8634484,용량
34.63162,-35.251408,가격
25.14578,-28.166159,디자인
3.7430222,-0.8251601,가격
53.67266,-31.910381,향기
-31.997578,10.68017,용량
4.1436777,11.275997,디자인
27.01592,41.57154,색상
2.7553928,-57.27731,용량
10.195557,-33.788982,용량
27.548674,-18.757011,가격
-6.1955075,-14.909429,감촉
-2.441518,24.537315,디자인
37.508774,-50.309288,감촉
19.49322,35.92373,색상
-16.133627,49.02821,감촉
15.306744,-27.091688,감촉
28.226063,-3.6850502,색상
-9.719851,11.010425,가격
-37.165096,15.41667,색상
21.470867,-23.473034,감촉
34.21639,-35.46361,용량
1.7046646,-14.868967,용량
5.6681266,-11.070638,가격
27.756725,12.504672,디자인
18.77285,22.41406,디자인
15.466724,27.650465,용량
14.614118,14.481409,디자인
55.05377,19.78575,감촉
-13.348276,22.717293,용량
-22.733267,-11.095906,향기
1.3856897,-17.075455,용량
-17.818558,30.61974,디자인
-8.835653,-11.137549,감촉
9.740044,3.4172835,향기
2.566972,-56.27851,가격
13.674684,0.27395242,가격
29.417791,-0.8777909,감촉
-30.676537,37.210464,가격
18.540436,19.994379,디자인
-5.4954877,39.63347,디자인
-37.892544,0.5545876,감촉
-34.095974,11.948278,용량
-2.355256,-8.203279,향기
-11.465394,-6.5259295,용량
-34.065365,27.45433,향기
-27.605558,-1.2149155,감촉
-2.113679,8.805715,향기
-22.843378,-12.468595,향기
-25.776415,45.99738,용량
-3.8498747,-29.5652,향기
13.635889,29.19754,색상
14.363814,29.850145,디자인
18.644917,34.721382,색상
36.055126,-2.5113273,용량
32.099453,-45.058323,감촉
7.195303,10.248977,디자인
-4.1735253,-61.0757,가격
-16.384672,31.718855,디자인
30.729366,11.175813,디자인
